,District,Rooms,Price
2209,Buca,1+1,17.500 TL
2210,Karabağlar / Kibar,3+1,18.000 TL
2211,Menemen,3+1,17.500 TL
2212,Buca,1+1,18.000 TL
2213,Buca,1+1,17.500 TL
2214,Buca,1+1,17.500 TL
2215,Bergama,1+1,17.500 TL
2216,Karabağlar / Kibar,2+1,18.000 TL
2217,Menemen / Ulukent,1+1,18.000 TL
2218,Menemen,1+1,18.000 TL
2219,Bayraklı / Soğukkuyu,2+1,17.500 TL
2220,Çiğli / Balatçık,2+1,17.900 TL
2221,Bornova / Çamdibi,2+1,17.500 TL
2222,Kemalpaşa,3+1,18.000 TL
2223,Menemen / Seyrek,1+1,18.000 TL
2224,Konak / Küçükyalı,1+1,18.000 TL
2225,Çiğli / Egekent,1+1,18.000 TL
2226,Buca / İşçievleri,1+1,18.000 TL
2227,Torbalı,1+1,17.500 TL
2228,Menemen / Seyrek,1+1,18.000 TL
2229,Buca,2+1,18.000 TL
2230,Menemen / Seyrek,2+1,17.500 TL
2231,Torbalı / Ayrancılar,1+1,18.000 TL
2232,Buca,1+1,18.000 TL
2233,Torbalı,3+1,18.000 TL
2234,Buca,1+1,18.000 TL
2235,Konak / Küçükyalı,2+1,17.500 TL
2236,Buca,1+1,17.500 TL
2237,Buca,2+0,18.000 TL
2238,Menemen / Koyundere,1+1,18.000 TL
2239,Bergama,3+1,18.000 TL
2240,Karabağlar,2+1,18.500 TL
2241,Tire,3+1,18.500 TL
2242,Torbalı,3+1,18.500 TL
2243,Çiğli / Büyükçiğli,2+1,18.000 TL
2244,Buca,1+1,17.500 TL
2245,Çiğli / Egekent,2+1,18.000 TL
2246,Bergama,4+1,18.000 TL
2247,Menemen / Ulukent,1+1,18.000 TL
2248,Bergama,3+1,18.500 TL
2249,Foça / Bağarası,2+1,18.000 TL
2250,Menemen / Asarlık,2+1,18.000 TL
2251,Buca,1+1,18.500 TL
2252,Bayraklı / Gümüşpala,1+1,18.000 TL
2253,Torbalı,2+1,17.700 TL
2254,Bornova / Atatürk,1+1,18.000 TL
2255,Menemen / Ulukent,1+1,18.000 TL
2256,Torbalı / Ayrancılar,1+1,18.500 TL
2257,Buca / Şirinyer,2+1,18.500 TL
2258,Buca,2+1,18.000 TL
2259,Buca,1+1,17.500 TL
2260,Bergama,1+1,18.000 TL
2261,Menemen / Seyrek,1+1,17.500 TL
2262,Bergama,3+1,18.000 TL
2263,Buca,1+1,18.000 TL
2264,Bayraklı / Gümüşpala,3+1,18.500 TL
2265,Ödemiş,3+1,18.000 TL
2266,Menemen / Seyrek,1+1,18.000 TL
2267,Karabağlar / Yeşilyurt,2+1,18.000 TL
2268,Buca,1+1,18.000 TL
2269,Kemalpaşa,2+1,18.500 TL
2270,Menemen / Seyrek,2+1,17.750 TL
2271,Bornova / Naldöken,2+1,18.650 TL
2272,Buca,1+1,18.000 TL
2273,Buca,1+1,18.000 TL
2274,Karabağlar / Günaltay,3+1,18.500 TL
2275,Bornova / Atatürk,2+1,18.000 TL
2276,Foça / Bağarası,2+1,18.000 TL
2277,Buca,1+1,18.000 TL
2278,Torbalı,2+1,18.000 TL
2279,Bergama,2+1,18.500 TL
2280,Çiğli / Balatçık,1+1,18.000 TL
2281,Buca,1+1,18.000 TL
2282,Buca,1+1,18.000 TL
2283,Bayraklı / Gümüşpala,2+1,18.500 TL
2284,Buca,1+1,18.000 TL
2285,Torbalı,1+1,18.000 TL
2286,Menderes / Görece,2+1,18.000 TL
2287,Buca,1+1,18.000 TL
2288,Seferihisar,1+1,17.999 TL
2289,Torbalı / Yazıbaşı,3+1,18.000 TL
2290,Torbalı,2+1,17.900 TL
2291,Buca / Şirinyer,2+1,18.000 TL
2292,Gaziemir,3+1,18.000 TL
2293,Buca,1+1,18.000 TL
2294,Urla / Köyler,1+1,18.000 TL
2295,Buca,1+1,18.250 TL
2296,Buca,Stüdyo (1+0),18.000 TL
2297,Menemen / Seyrek,1+1,18.000 TL
2298,Menemen,3+1,17.500 TL
2299,Menemen / Seyrek,1+1,18.000 TL
2300,Seferihisar,1+1,18.000 TL
2301,Buca,3+1,18.000 TL
2302,Menemen / Seyrek,1+1,18.500 TL
2303,Bergama,3+1,18.000 TL
2304,Aliağa,2+1,18.000 TL
2305,Menemen / Seyrek,1+1,17.500 TL
2306,Menemen / Seyrek,1+1,18.500 TL
2307,Dikili,1+1,18.000 TL
2308,Karabağlar / Yeşilyurt,2+1,18.000 TL
2309,Buca,1+1,18.000 TL
2310,Menemen / Seyrek,1+1,17.500 TL
2311,Seferihisar,1+1,18.500 TL
2312,Buca,2+1,18.000 TL
2313,Buca,1+1,18.000 TL
2314,Buca,1+1,18.000 TL
2315,Karabağlar,3+1,18.000 TL
2316,Karabağlar,3+1,18.000 TL
2317,Çiğli / Balatçık,1+1,17.500 TL
2318,Menemen / Seyrek,1+1,17.500 TL
2319,Menemen / Seyrek,1+1,18.000 TL
2320,Karabağlar / Fahrettinaltay,3+1,17.500 TL
2321,Menemen / Seyrek,1+1,18.000 TL
2322,Çiğli / Büyükçiğli,2+1,18.000 TL
2323,Bayraklı / Alpaslan,2+1,17.500 TL
2324,Çiğli / Balatçık,1+1,18.000 TL
2325,Menemen / Seyrek,2+1,18.000 TL
2326,Buca,1+1,18.000 TL
2327,Buca,1+1,18.000 TL
2328,Ödemiş,2+1,17.500 TL
2329,Menemen,1+1,17.500 TL
2330,Torbalı,1+1,18.500 TL
2331,Karabağlar,3+1,18.500 TL
2332,Karabağlar / Kibar,2+1,18.000 TL
2333,Buca,1+1,18.000 TL
2334,Buca / İşçievleri,1+1,18.000 TL
2335,Bayraklı / Alpaslan,3+1,18.000 TL
2336,Buca,2+1,17.500 TL
2337,Konak / Alsancak,1+1,18.500 TL
2338,Menemen / Asarlık,1+1,18.000 TL
2339,Menemen / Seyrek,1+1,18.000 TL
2340,Bergama,2+1,18.000 TL
2341,Buca,3+1,18.000 TL
2342,Buca,1+1,18.500 TL
2343,Menemen / Seyrek,1+1,17.500 TL
2344,Menemen / Seyrek,2+1,18.250 TL
2345,Bergama,3+1,18.000 TL
2346,Ödemiş,3+1,18.000 TL
2347,Buca,1+1,18.250 TL
2348,Bornova,1+1,18.000 TL
2349,Torbalı,3+1,18.500 TL
2350,Bayraklı / Alpaslan,3+1,18.000 TL
2351,Buca,1+1,18.000 TL
2352,Menemen / Seyrek,2+1,18.000 TL
2353,Buca / Şirinyer,2+1,18.000 TL
2354,Karabağlar / Yeşilyurt,2+1,18.000 TL
2355,Buca,1+1,18.000 TL
2356,Buca / Şirinyer,2+1,18.000 TL
2357,Buca / Şirinyer,2+1,18.000 TL
2358,Bornova / Naldöken,1+1,18.000 TL
2359,Buca,2+1,17.500 TL
2360,Buca,1+1,18.000 TL
2361,Menemen / Ulukent,1+1,18.500 TL
2362,Menemen / Seyrek,1+1,18.000 TL
2363,Buca,1+1,18.000 TL
2364,Bayraklı / Soğukkuyu,3+1,17.500 TL
2365,Buca,1+1,18.000 TL
2366,Bornova / Çamdibi,2+1,17.500 TL
2367,Menemen / Seyrek,2+1,18.500 TL
2368,Buca,1+1,18.500 TL
2369,Menemen / Seyrek,1+1,18.000 TL
2370,Bornova / Pınarbaşı,1.5+1,18.000 TL
2371,Gaziemir,2+1,18.000 TL
2372,Torbalı / Ayrancılar,1+1,18.000 TL
2373,Menemen,2+1,18.000 TL
2374,Karabağlar / Yeşilyurt,2+1,18.000 TL
2375,Buca,1+1,17.500 TL
2376,Menemen / Seyrek,1+1,18.500 TL
2377,Menderes / Görece,2+1,18.000 TL
2378,Konak / Gürçeşme,3+1,18.000 TL
2379,Çiğli / Egekent,3+1,18.000 TL
2380,Buca,1+1,18.500 TL
2381,Buca,2+1,18.000 TL
2382,Torbalı,1+1,17.500 TL
2383,Torbalı,1+1,18.500 TL
2384,Buca,3+1,18.000 TL
2385,Torbalı,1+1,17.500 TL
2386,Menemen,2+1,17.500 TL
2387,Konak / Gültepe,3+1,18.000 TL
2388,Selçuk,1+1,18.000 TL
2389,Torbalı / Çaybaşı,2+1,17.800 TL
2390,Menemen,3+1,18.000 TL
2391,Buca,1+1,18.000 TL
2392,Buca,2+1,18.000 TL
2393,Bayraklı / Gümüşpala,1+1,18.250 TL
2394,Torbalı,3+1,18.000 TL
2395,Çiğli / Balatçık,Stüdyo (1+0),18.000 TL
2396,Menemen / Koyundere,1+1,18.500 TL
2397,Bornova / Çamdibi,2+1,18.000 TL
2398,Menemen / Seyrek,1+1,17.500 TL
2399,Buca,1+1,18.000 TL
2400,Buca,1+1,18.000 TL
2401,Menemen / Seyrek,1+1,18.000 TL
2402,Torbalı,3+1,18.500 TL
2403,Torbalı,3+1,18.000 TL
2404,Selçuk,2+1,18.000 TL
2405,Bergama,1+1,18.000 TL
2406,Karabağlar / Yeşilyurt,2+1,18.000 TL
2407,Torbalı,1+1,18.000 TL
2408,Menemen / Seyrek,1+1,18.000 TL
2409,Buca,1+1,18.000 TL
2410,Seferihisar,1+1,18.000 TL
2411,Karabağlar,1+1,18.000 TL
2412,Buca,2+1,18.000 TL
2413,Karabağlar / Yeşilyurt,2+1,17.500 TL
2414,Menderes / Gümüldür,2+1,17.500 TL
2415,Torbalı,3+1,18.000 TL
2416,Buca,1+1,18.000 TL
2417,Karabağlar,2+1,17.500 TL
2418,Buca,2+1,18.000 TL
2419,Buca / Şirinyer,1+1,18.000 TL
2420,Ödemiş,3+1,17.500 TL
2421,Torbalı / Yazıbaşı,1+1,18.500 TL
2422,Buca,2+1,18.000 TL
2423,Torbalı,1+1,18.000 TL
2424,Buca,1+1,17.500 TL
2425,Torbalı / Ayrancılar,2+1,18.000 TL
2426,Buca,2+1,18.000 TL
2427,Menemen / Seyrek,1+1,17.500 TL
2428,Çiğli / Balatçık,1+1,18.000 TL
2429,Menemen,2+1,17.500 TL
2430,Menemen / Seyrek,1+1,18.000 TL
2431,Buca,2+1,18.000 TL
2432,Buca,1+1,18.000 TL
2433,Karabağlar / Günaltay,1+1,18.000 TL
2434,Karabağlar / Kibar,2+1,18.000 TL
2435,Buca,2+1,18.000 TL
2436,Bayraklı / Alpaslan,2+1,17.500 TL
2437,Torbalı,2+1,18.500 TL
2438,Buca / Şirinyer,2+1,18.000 TL
2439,Buca,1+1,17.500 TL
2440,Çiğli / Sasalı,1+1,17.500 TL
2441,Karabağlar / Yeşilyurt,2+1,18.500 TL
2442,Bornova / Naldöken,2+1,18.000 TL
2443,Bornova / Atatürk,2+1,18.000 TL
2444,Menemen,3+1,18.000 TL
2445,Konak / Eşrefpaşa,1+1,18.500 TL
2446,Gaziemir,2+1,18.000 TL
2447,Buca,1+1,18.650 TL
2448,Buca,1+1,17.500 TL
2449,Buca,1+1,18.000 TL
2450,Menderes / Gümüldür,2+1,18.000 TL
2451,Karşıyaka / Alaybey,2+1,18.000 TL
2452,Çiğli / Ataşehir,3+1,18.000 TL
2453,Torbalı,1+1,18.000 TL
2454,Buca,1+1,18.000 TL
2455,Menemen / Seyrek,1+1,17.500 TL
2456,Bergama,2+1,18.000 TL
2457,Buca / İşçievleri,2+1,18.000 TL
2458,Menemen,3+1,18.500 TL
2459,Buca / İşçievleri,1+1,17.500 TL
2460,Torbalı,3+1,18.000 TL
2461,Karabağlar / Fahrettinaltay,1+1,17.500 TL
2462,Torbalı,1+1,18.000 TL
2463,Menemen / Seyrek,1+1,18.000 TL
2464,Buca,1+1,18.000 TL
2465,Bergama,2+1,18.000 TL
2466,Bergama,1+1,18.500 TL
2467,Bayraklı / Alpaslan,3+1,18.000 TL
2468,Buca,1+1,18.000 TL
2469,Karabağlar / Yeşilyurt,3+1,18.500 TL
2470,Menemen / Seyrek,1+1,18.000 TL
2471,Karabağlar / Yeşilyurt,3+1,18.500 TL
2472,Karşıyaka / Alaybey,3+1,18.500 TL
2473,Gaziemir / Sarnıç,1+1,17.500 TL
2474,Menemen / Seyrek,1+1,17.500 TL
2475,Buca,2+1,18.250 TL
2476,Selçuk,2+1,18.000 TL
2477,Buca,1+1,18.000 TL
2478,Karabağlar / Kibar,3+1,18.500 TL
2479,Tire,3+1,18.500 TL
2480,Çiğli / Egekent,1+1,18.000 TL
2481,Menemen / Seyrek,1+1,18.500 TL
2482,Torbalı / Ayrancılar,2+1,17.500 TL
2483,Torbalı,1+1,17.500 TL
2484,Torbalı / Ayrancılar,2+1,17.500 TL
2485,Torbalı / Ayrancılar,1+1,17.500 TL
2486,Torbalı / Ayrancılar,2+1,18.000 TL
2487,Buca,2+1,18.000 TL
2488,Buca,1+1,18.000 TL
2489,Buca,2+1,18.000 TL
2490,Bergama,3+1,18.000 TL
2491,Buca,1+1,18.500 TL
2492,Buca,1+1,17.750 TL
2493,Buca,1+1,18.000 TL
2494,Çiğli / Egekent,1+1,18.500 TL
2495,Bornova / Atatürk,3+1,18.000 TL
2496,Konak / Kahramanlar,1+1,18.000 TL
2497,Bornova / Naldöken,1+1,18.000 TL
2498,Tire,3+1,18.000 TL
2499,Tire,1+1,18.000 TL
2500,Bayraklı / Alpaslan,2+1,17.500 TL
2501,Karşıyaka / Cumhuriyet,3+1,18.500 TL
2502,Torbalı,3+1,18.000 TL
2503,Bornova / Altındağ,2+1,17.500 TL
2504,Buca,1+1,18.000 TL
2505,Menemen / Ulukent,1+1,18.000 TL
2506,Buca,1+1,18.000 TL
2507,Karabağlar,3+1,18.000 TL
2508,Bergama,3+1,18.000 TL
2509,Bornova / Atatürk,2+1,18.000 TL
2510,Bornova / Naldöken,Stüdyo (1+0),18.000 TL
2511,Torbalı / Ayrancılar,1+1,18.000 TL
2512,Konak,Stüdyo (1+0),18.000 TL
2513,Menemen / Seyrek,2+1,18.000 TL
2514,Torbalı,3+1,18.000 TL
2515,Buca,2+1,18.000 TL
2516,Bayraklı / Gümüşpala,2+1,18.000 TL
2517,Buca,1+1,18.000 TL
2518,Konak / Alsancak,1+1,18.000 TL
2519,Buca,1+1,18.500 TL
2520,Buca,3+1,18.000 TL
2521,Buca,1+1,17.500 TL
2522,Karabağlar / Günaltay,2+1,18.000 TL
2523,Bornova / Naldöken,2+1,17.500 TL
2524,Bayraklı / Gümüşpala,2+1,17.500 TL
2525,Bornova / Altındağ,2+1,18.500 TL
2526,Menemen / Seyrek,1+1,17.500 TL
2527,Torbalı / Ayrancılar,1+1,18.000 TL
2528,Çiğli / Ataşehir,2+1,18.000 TL
2529,Torbalı / Ayrancılar,2+1,18.500 TL
2530,Buca,1+1,18.500 TL
2531,Buca,1+1,18.000 TL
2532,Tire,3+1,18.000 TL
2533,Bornova / Atatürk,1+1,18.000 TL
2534,Selçuk,2+1,18.500 TL
2535,Bornova / Atatürk,1+1,18.000 TL
2536,Torbalı / Ayrancılar,2+1,18.000 TL
2537,Bornova / Atatürk,2+1,18.000 TL
2538,Buca,1+1,18.000 TL
2539,Buca,1+1,18.500 TL
2540,Buca / Şirinyer,2+1,18.000 TL
2541,Torbalı,1+1,18.000 TL
2542,Buca,2+1,18.000 TL
2543,Buca,2+0,18.000 TL
2544,Buca,1+1,18.000 TL
2545,Bornova / Naldöken,2+1,18.500 TL
2546,Bornova / Atatürk,2+1,18.000 TL
2547,Çiğli / Balatçık,1+1,17.500 TL
2548,Menemen / Seyrek,1+1,18.500 TL
2549,Buca,1+1,17.500 TL
2550,Bornova / Çamdibi,1+1,17.500 TL
2551,Bornova / Atatürk,2+1,18.000 TL
2552,Buca,1+1,18.000 TL
2553,Bornova / Çamdibi,2+1,17.500 TL
2554,Foça / Bağarası,1+1,18.000 TL
2555,Buca,2+1,19.000 TL
2556,Buca,1+1,19.500 TL
2557,Tire,3+1,19.000 TL
2558,Karşıyaka,3+1,19.000 TL
2559,Ödemiş,3+1,19.000 TL
2560,Bayraklı / Manavkuyu,2+1,19.500 TL
2561,Karabağlar / Yeşilyurt,1+1,19.000 TL
2562,Konak / Küçükyalı,2+1,19.000 TL
2563,Buca,1+1,19.500 TL
2564,Karabağlar / Yeşilyurt,2+1,19.500 TL
2565,Çiğli / Balatçık,1+1,19.000 TL
2566,Seferihisar,1+1,19.000 TL
2567,Menemen / Koyundere,1+1,19.000 TL
2568,Torbalı,1+1,19.500 TL
2569,Aliağa,2+1,19.000 TL
2570,Karabağlar,3+1,19.000 TL
2571,Buca,1+1,19.000 TL
2572,Bornova / Naldöken,1+1,19.000 TL
2573,Torbalı,2+1,19.000 TL
2574,Buca,2+1,19.000 TL
2575,Buca,1+1,18.750 TL
2576,Karabağlar / Kibar,3+1,19.750 TL
2577,Buca,1+1,19.500 TL
2578,Menemen,2+1,19.000 TL
2579,Foça / Bağarası,2+1,19.000 TL
2580,Foça / Köyler,2+1,19.000 TL
2581,Foça / Köyler,1+1,19.000 TL
2582,Torbalı,2+1,19.000 TL
2583,Bayraklı / Gümüşpala,3+1,19.000 TL
2584,Buca,2+0,19.000 TL
2585,Bayraklı / Gümüşpala,2+1,19.500 TL
2586,Seferihisar,1+1,19.000 TL
2587,Buca,1+1,19.000 TL
2588,Buca,1+1,19.000 TL
2589,Buca,1+1,19.000 TL
2590,Buca,1+1,19.000 TL
2591,Buca,1+1,19.000 TL
2592,Karabağlar / Yeşilyurt,2+1,19.000 TL
2593,Bornova / Çamdibi,2+1,19.000 TL
2594,Torbalı,1+1,19.000 TL
2595,Menemen / Seyrek,1+1,19.500 TL
2596,Çiğli / Balatçık,1+1,19.500 TL
2597,Bayraklı / Gümüşpala,2+1,19.000 TL
2598,Çiğli / Balatçık,Stüdyo (1+0),19.500 TL
2599,Buca,1+1,19.000 TL
2600,Bergama,2+1,19.500 TL
2601,Buca,1+1,19.500 TL
2602,Buca,1+1,19.000 TL
2603,Torbalı / Ayrancılar,3+1,19.500 TL
2604,Bornova / Köyler,4+1,19.000 TL
2605,Buca / İşçievleri,3+1,19.500 TL
2606,Bornova / Çamdibi,2+1,19.500 TL
2607,Buca,1+1,19.500 TL
2608,Menemen / Koyundere,1+1,19.000 TL
2609,Bornova / Naldöken,1+1,19.000 TL
2610,Buca,1+1,19.000 TL
2611,Torbalı,2+1,19.000 TL
2612,Çiğli / Balatçık,Stüdyo (1+0),19.000 TL
2613,Çiğli / Sasalı,1+1,19.500 TL
2614,Menemen / Seyrek,1+1,19.500 TL
2615,Buca,1+1,19.000 TL
2616,Karabağlar / Günaltay,2+1,19.500 TL
2617,Menemen / Seyrek,1+1,19.000 TL
2618,Menemen / Ulukent,1+1,19.000 TL
2619,Tire,3+1,19.500 TL
2620,Gaziemir / Sarnıç,3+1,19.000 TL
2621,Tire,3+1,19.000 TL
2622,Bornova / Altındağ,3+1,19.000 TL
2623,Buca,2+1,19.000 TL
2624,Torbalı / Ayrancılar,2+1,19.000 TL
2625,Torbalı,1+1,19.000 TL
2626,Konak / Alsancak,2+1,19.500 TL
2627,Çiğli / Balatçık,1+1,19.500 TL
2628,Karabağlar,1+1,19.750 TL
2629,Karabağlar,1+1,19.000 TL
2630,Buca,1+1,19.000 TL
2631,Torbalı / Ayrancılar,2+1,19.000 TL
2632,Menemen / Seyrek,1+1,19.000 TL
2633,Torbalı / Ayrancılar,2+1,19.500 TL
2634,Karşıyaka / İmbatlı,1+1,19.000 TL
2635,Buca,2+1,19.000 TL
2636,Buca,2+1,19.700 TL
2637,Menemen / Seyrek,1+1,19.000 TL
2638,Torbalı,2+1,19.500 TL
2639,Buca,1+1,19.000 TL
2640,Buca,1+1,19.000 TL
2641,Menemen / Seyrek,2+1,19.500 TL
2642,Karabağlar / Yeşilyurt,2+1,19.000 TL
2643,Konak / Eşrefpaşa,2+1,19.500 TL
2644,Tire,2+1,19.000 TL
2645,Menemen / Koyundere,1+1,19.500 TL
2646,Çiğli / Egekent,3+1,19.000 TL
2647,Torbalı,2+1,19.000 TL
2648,Menemen / Seyrek,1+1,19.500 TL
2649,Buca,1+1,19.000 TL
2650,Çiğli / Egekent,2+1,19.000 TL
2651,Buca,1+1,19.000 TL
2652,Çiğli / Egekent,1+1,19.000 TL
2653,Buca,1+1,19.000 TL
2654,Buca / Köyler,2+1,19.000 TL
2655,Buca,1+1,19.000 TL
2656,Bornova / Naldöken,2+0,19.500 TL
2657,Menemen / Asarlık,2+1,19.000 TL
2658,Karabağlar / Kibar,2+1,19.000 TL
2659,Menemen / Seyrek,1+1,19.000 TL
2660,Bayraklı,2+1,19.000 TL
2661,Bayraklı / Gümüşpala,1+1,19.500 TL
2662,Bergama,3+1,19.000 TL
2663,Buca,1+1,19.000 TL
2664,Buca,1+1,19.000 TL
2665,Buca,1+1,19.000 TL
2666,Karabağlar / Yeşilyurt,3+1,19.000 TL
2667,Buca,2+1,19.000 TL
2668,Menemen / Seyrek,1+1,19.000 TL
2669,Buca,2+1,19.000 TL
2670,Buca,1+1,19.000 TL
2671,Çiğli / Egekent,2+1,19.500 TL
2672,Çiğli / Büyükçiğli,2+1,19.000 TL
2673,Bergama,2+1,19.000 TL
2674,Bayraklı / Manavkuyu,1+1,19.000 TL
2675,Bornova / Çamdibi,Stüdyo (1+0),19.000 TL
2676,Torbalı / Ayrancılar,2+1,19.500 TL
2677,Çiğli / Balatçık,Stüdyo (1+0),19.000 TL
2678,Karşıyaka / Alaybey,2+1,19.500 TL
2679,Buca,1+1,19.000 TL
2680,Bornova / Naldöken,2+1,19.000 TL
2681,Torbalı,2+1,19.500 TL
2682,Karşıyaka / Alaybey,1+1,19.000 TL
2683,Bornova / Naldöken,1+1,19.500 TL
2684,Buca,2+1,19.000 TL
2685,Buca,1+1,19.000 TL
2686,Menemen / Seyrek,2+1,19.000 TL
2687,Konak / Kahramanlar,2+1,19.900 TL
2688,Buca,1+1,19.500 TL
2689,Torbalı,3+1,19.500 TL
2690,Konak / Gültepe,3+1,19.000 TL
2691,Buca,1+1,19.500 TL
2692,Bornova / Altındağ,3+1,19.000 TL
2693,Bornova / Naldöken,Stüdyo (1+0),19.500 TL
2694,Menemen / Seyrek,1+1,19.000 TL
2695,Buca,3+1,19.000 TL
2696,Torbalı,2+1,19.000 TL
2697,Çiğli / Balatçık,Stüdyo (1+0),19.500 TL
2698,Buca,1+1,19.000 TL
2699,Buca,2+1,19.000 TL
2700,Bayraklı / Alpaslan,2+1,19.000 TL
2701,Konak / Gürçeşme,3+1,19.500 TL
2702,Torbalı / Ayrancılar,2+1,19.500 TL
2703,Karabağlar / Yeşilyurt,3+1,19.000 TL
2704,Karabağlar / Yeşilyurt,1+1,19.000 TL
2705,Menemen,3+1,19.000 TL
2706,Buca,2+1,19.250 TL
2707,Bayraklı,3+1,19.500 TL
2708,Konak,3+1,19.000 TL
2709,Buca / İşçievleri,2+1,19.000 TL
2710,Bergama,1+1,19.750 TL
2711,Buca,1+1,19.000 TL
2712,Buca,2+1,19.000 TL
2713,Menemen / Ulukent,1+1,19.000 TL
2714,Çiğli / Balatçık,1+1,19.500 TL
2715,Torbalı / Ayrancılar,3+1,19.000 TL
2716,Buca,2+1,19.000 TL
2717,Buca,2+0,19.500 TL
2718,Torbalı / Ayrancılar,3+1,19.000 TL
2719,Torbalı,2+0,19.000 TL
2720,Menemen / Seyrek,2+1,18.999 TL
2721,Buca,2+1,19.500 TL
2722,Buca / Şirinyer,2+1,19.000 TL
2723,Selçuk,2+1,19.000 TL
2724,Balçova,2+1,19.000 TL
2725,Buca,1+1,19.000 TL
2726,Buca / Şirinyer,2+1,19.500 TL
2727,Menemen,1+1,19.000 TL
2728,Buca / Şirinyer,1+1,19.000 TL
2729,Ödemiş,2+1,19.500 TL
2730,Torbalı / Ayrancılar,2+1,19.500 TL
2731,Karabağlar / Günaltay,2+1,19.000 TL
2732,Buca,1+1,19.000 TL
2733,Menemen,3+1,19.500 TL
2734,Çiğli / Büyükçiğli,3+1,19.000 TL
2735,Konak / Küçükyalı,2+1,19.000 TL
2736,Karabağlar / Yeşilyurt,2+1,19.000 TL
2737,Torbalı / Çaybaşı,2+1,19.000 TL
2738,Bergama,1+1,19.500 TL
2739,Konak / Küçükyalı,2+1,19.000 TL
2740,Menemen / Ulukent,1+1,19.000 TL
2741,Torbalı,3+1,19.000 TL
2742,Menemen / Seyrek,1+1,19.000 TL
2743,Karabağlar / Günaltay,2+1,19.000 TL
2744,Buca / Şirinyer,2+1,19.000 TL
2745,Buca,1+1,19.000 TL
2746,Karabağlar / Yeşilyurt,2+1,19.000 TL
2747,Menemen,2+1,19.000 TL
2748,Buca,1+1,19.500 TL
2749,Torbalı / Ayrancılar,1+1,18.750 TL
2750,Konak / Alsancak,2+1,19.000 TL
2751,Torbalı,2+1,19.000 TL
2752,Menemen / Seyrek,1+1,19.000 TL
2753,Çiğli / Balatçık,Stüdyo (1+0),19.500 TL
2754,Tire,2+1,19.000 TL
2755,Buca / İşçievleri,1+1,19.500 TL
2756,Çiğli / Egekent,2+1,19.000 TL
2757,Buca,1+1,19.500 TL
2758,Buca / Şirinyer,1+1,19.000 TL
2759,Buca,1+1,19.500 TL
2760,Foça / Bağarası,2+1,19.250 TL
2761,Torbalı,2+1,18.900 TL
2762,Buca,2+1,19.000 TL
2763,Buca,1+1,19.000 TL
2764,Konak / Eşrefpaşa,2+1,19.000 TL
2765,Buca,1+1,19.000 TL
2766,Buca,2+0,19.500 TL
2767,Çiğli / Büyükçiğli,2+1,19.000 TL
2768,Konak / Küçükyalı,1+1,19.000 TL
2769,Menemen,2+1,19.500 TL
2770,Buca / İşçievleri,3+1,19.000 TL
2771,Buca,1+1,19.000 TL
2772,Torbalı / Ayrancılar,3+1,19.000 TL
2773,Menemen / Asarlık,2+1,19.500 TL
2774,Buca,1+1,19.500 TL
2775,Karaburun / Mordoğan,1+1,19.000 TL
2776,Bornova,1+1,19.000 TL
2777,Buca,1+1,19.500 TL
2778,Ödemiş,3+1,19.000 TL
2779,Buca,1+1,19.000 TL
2780,Çiğli / Egekent,3+1,19.000 TL
2781,Çiğli / Merkez,1+1,19.000 TL
2782,Bergama,3+1,19.500 TL
2783,Bornova / Atatürk,3+1,19.000 TL
2784,Buca,2+0,19.000 TL
2785,Tire,2+1,19.900 TL
2786,Buca / İşçievleri,1+1,19.250 TL
2787,Bergama,2+1,19.500 TL
2788,Torbalı,1+1,19.000 TL
2789,Bayraklı / Alpaslan,2+1,19.000 TL
2790,Buca,1+1,19.000 TL
2791,Buca,1+1,19.500 TL
2792,Bergama,1+1,19.000 TL
2793,Buca,1+1,19.500 TL
2794,Bornova,2+1,19.000 TL
2795,Buca,2+0,19.500 TL
2796,Ödemiş,4+1,19.000 TL
2797,Buca,1+1,19.000 TL
2798,Buca,2+0,19.000 TL
2799,Tire,4+1,19.000 TL
2800,Menemen / Seyrek,1+1,19.000 TL
2801,Aliağa,2+1,19.000 TL
2802,Bayraklı / Gümüşpala,1+1,19.500 TL
2803,Çiğli / Büyükçiğli,2+1,19.000 TL
2804,Buca,1+1,19.000 TL
2805,Torbalı,2+1,19.000 TL
2806,Torbalı,3+1,19.000 TL
2807,Buca,1+1,19.000 TL
2808,Torbalı,2+1,19.000 TL
2809,Buca,1+1,19.000 TL
2810,Tire,2+1,19.500 TL
2811,Menemen / Seyrek,1+1,19.500 TL
2812,Urla,1+1,19.000 TL
2813,Çiğli / Balatçık,3+1,19.000 TL
2814,Bergama,3+1,19.000 TL
2815,Seferihisar,1+1,19.000 TL
2816,Buca / Şirinyer,2+1,19.000 TL
2817,Torbalı / Ayrancılar,2+1,19.000 TL
2818,Çiğli / Egekent,2+1,19.000 TL
2819,Karabağlar,3+1,19.000 TL
2820,Buca / Şirinyer,3+1,19.000 TL
2821,Menemen,3+1,19.500 TL
2822,Urla,Stüdyo (1+0),19.000 TL
2823,Karabağlar,2+1,19.000 TL
2824,Torbalı / Ayrancılar,2+1,19.500 TL
2825,Bergama,3+1,19.250 TL
2826,Menemen / Seyrek,2+1,19.500 TL
2827,Bornova / Altındağ,2+1,19.000 TL
